City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Muros,ES,2022-04-07 17:48:39,42.7762,-9.0603,57.69,88,100,18.88
222,Gueugnon,FR,2022-04-07 17:48:40,46.6036,4.0629,55.92,89,100,13.6
223,Bandarbeyla,SO,2022-04-07 17:48:40,9.4942,50.8122,80.49,76,21,9.6
224,Maniitsoq,GL,2022-04-07 17:48:41,65.4167,-52.9,21.9,79,71,13.18
225,Mbanza-Ngungu,CD,2022-04-07 17:48:41,-5.25,14.8667,71.89,93,88,2.75
226,Chifeng,CN,2022-04-07 17:48:42,42.2683,118.9636,49.41,43,1,6.62
227,Fortaleza,BR,2022-04-07 17:49:42,-3.7227,-38.5247,86.13,74,75,12.66
228,Awjilah,LY,2022-04-07 17:49:43,29.1081,21.2869,73.72,36,1,22.32
229,Kwinana,AU,2022-04-07 17:45:55,-32.25,115.7667,78.24,100,41,2.24
230,Jumla,NP,2022-04-07 17:49:43,29.2747,82.1838,48.34,42,0,4.12
231,Thompson,CA,2022-04-07 17:49:44,55.7435,-97.8558,33.96,44,20,6.91
232,Acapulco,MX,2022-04-07 17:49:14,16.8634,-99.8901,78.62,73,75,9.22
233,Bengkulu,ID,2022-04-07 17:49:44,-3.8004,102.2655,73.45,81,84,4.09
234,Bethel,US,2022-04-07 17:49:45,41.3712,-73.414,51.44,91,100,7.0
235,Oistins,BB,2022-04-07 17:46:43,13.0667,-59.5333,86.09,58,40,19.57
236,Petropavlovsk-Kamchatskiy,RU,2022-04-07 17:49:45,53.0452,158.6483,30.79,100,100,4.47
237,Yaan,NG,2022-04-07 17:49:46,7.3833,8.5667,95.22,34,63,9.33
238,Lazaro Cardenas,MX,2022-04-07 17:45:03,17.9583,-102.2,81.82,55,43,8.14
239,Udachnyy,RU,2022-04-07 17:49:46,66.4167,112.4,14.45,56,100,4.76
240,Rosetta,EG,2022-04-07 17:49:46,31.4044,30.4164,76.46,37,80,4.94
241,Senigallia,IT,2022-04-07 17:49:47,43.7093,13.2167,61.29,59,31,16.11
242,Vardo,NO,2022-04-07 17:49:47,70.3705,31.1107,35.58,87,75,24.16
243,Narsaq,GL,2022-04-07 17:49:48,60.9167,-46.05,37.62,74,93,4.27
244,Tazovskiy,RU,2022-04-07 17:49:48,67.4667,78.7,-1.48,98,100,8.43
245,Thinadhoo,MV,2022-04-07 17:49:49,0.5333,72.9333,83.01,68,19,3.98
246,Turan,VN,2022-04-07 17:49:49,16.0678,108.2208,71.58,88,20,1.14
247,Alofi,NU,2022-04-07 17:49:50,-19.0595,-169.9187,71.49,94,100,2.3
248,Soavinandriana,MG,2022-04-07 17:49:50,-19.1667,46.7333,61.59,86,72,3.42
249,Ilulissat,GL,2022-04-07 17:49:51,69.2167,-51.1,21.22,86,100,6.91
