City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,40,4.61,scattered clouds
192,La Cruz,MX,23.9167,-106.9,79.79,62,54,9.71,broken clouds
193,Urucara,BR,-2.5364,-57.76,82.38,89,99,3.38,heavy intensity rain
194,Atar,MR,20.5169,-13.0499,86.92,10,0,10.56,clear sky
195,Iqaluit,CA,63.7506,-68.5145,20.93,67,75,11.5,broken clouds
196,Muzhi,RU,65.3667,64.6667,2.75,98,100,3.31,overcast clouds
197,Cockburn Town,TC,21.4612,-71.1419,82.36,65,40,19.57,scattered clouds
198,Mandurah,AU,-32.55,115.7,59.92,77,64,15.59,broken clouds
199,Hatillo,PR,18.4863,-66.8254,81.39,90,100,8.99,overcast clouds
200,Atasu,KZ,48.6814,71.6433,42.35,72,8,7.49,clear sky
201,Tiksi,RU,71.6872,128.8694,-9.62,100,100,4.12,overcast clouds
202,Fortuna,US,40.5982,-124.1573,54.86,89,75,13.8,broken clouds
203,Belmonte,BR,-15.8631,-38.8828,82.24,66,0,8.37,clear sky
204,Goderich,CA,43.7501,-81.7165,44.91,75,45,11.5,scattered clouds
205,Narsaq,GL,60.9167,-46.05,32.32,70,39,5.03,scattered clouds
206,Srednekolymsk,RU,67.45,153.6833,-21.46,99,42,9.08,scattered clouds
207,Asau,RO,46.4333,26.4,58.28,64,100,6.62,overcast clouds
208,Talaya,RU,61.3833,152.75,-12.05,99,75,2.15,broken clouds
209,Faanui,PF,-16.4833,-151.75,82.09,75,100,19.28,overcast clouds
210,Kenora,CA,49.8167,-94.4337,40.17,30,0,15.01,clear sky
211,Puerto Ayora,EC,-0.7393,-90.3518,84.16,76,39,10.4,light rain
212,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,48,0,11.5,clear sky
213,Male,MV,4.1748,73.5089,84.24,68,36,6.2,scattered clouds
214,Oranjemund,NA,-28.55,16.4333,63.61,64,0,17.38,clear sky
215,Coahuayana,MX,18.7333,-103.6833,90.64,37,17,8.63,few clouds
216,Nalut,LY,30.3333,10.85,75.13,21,91,11.65,overcast clouds
217,Grand Forks,US,47.9417,-97.4337,40.78,53,6,14.43,clear sky
218,Laguna,US,38.421,-121.4238,87.08,37,0,3.0,clear sky
219,Ambon,ID,-3.6954,128.1814,80.74,83,40,3.44,scattered clouds
220,Rio Cuarto,AR,-33.1307,-64.3499,87.33,37,0,19.57,clear sky
221,Healdsburg,US,38.6105,-122.8692,86.9,37,100,5.99,overcast clouds
222,Jumla,NP,29.2747,82.1838,48.2,51,0,3.74,clear sky
223,Dalbandin,PK,28.8947,64.4101,80.74,9,0,0.13,clear sky
224,Klaksvik,FO,62.2266,-6.589,34.72,72,100,19.3,overcast clouds
225,Marawi,PH,7.9986,124.2928,69.1,97,100,1.97,heavy intensity rain
226,Bull Savanna,JM,17.8868,-77.5902,81.09,65,87,13.65,overcast clouds
227,Meulaboh,ID,4.1363,96.1285,76.84,87,90,2.91,overcast clouds
228,Cherrapunji,IN,25.3,91.7,57.07,81,0,3.49,clear sky
229,Breves,BR,-1.6822,-50.4803,73.58,97,100,5.46,moderate rain
230,Jaciara,BR,-15.9653,-54.9683,85.23,64,99,1.59,overcast clouds
231,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,90,94,24.43,overcast clouds
232,Seydi,TM,39.4816,62.9137,74.95,30,15,6.53,few clouds
233,Ugoofaaru,MV,5.6667,73.0,84.54,66,28,5.23,scattered clouds
234,Zaykovo,RU,57.5613,62.7568,30.29,93,100,3.51,overcast clouds
235,Jiuquan,CN,39.7432,98.5174,60.64,10,6,8.72,clear sky
236,Krasnoarmeysk,RU,51.0239,45.6969,51.04,69,100,11.56,overcast clouds
237,Leninskoye,KZ,41.7589,69.3864,66.18,44,100,4.99,overcast clouds
238,Bilma,NE,18.6853,12.9164,91.87,5,0,7.43,clear sky
239,Opotiki,NZ,-38.0833,177.2833,51.39,83,0,6.42,clear sky
240,Talnakh,RU,69.4865,88.3972,-0.8,98,100,3.87,overcast clouds
241,Yar-Sale,RU,66.8333,70.8333,-9.44,96,72,8.25,broken clouds
242,Moree,AU,-29.4667,149.85,62.62,82,75,8.05,broken clouds
243,Sumbe,AO,-11.2061,13.8437,77.47,89,98,4.34,light rain
244,Igbo Ora,NG,7.4333,3.2833,83.17,67,100,12.88,light rain
245,Maldonado,UY,-34.6667,-54.9167,74.59,47,0,12.21,clear sky
246,Juneau,US,58.3019,-134.4197,43.21,84,100,2.86,overcast clouds
247,Beloha,MG,-25.1667,45.05,75.06,86,36,11.14,scattered clouds
248,Tommot,RU,58.9564,126.2925,-2.25,100,71,0.96,broken clouds
249,Kerema,PG,-7.9631,145.7785,77.13,87,100,2.24,overcast clouds
