City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Presidencia Roque Saenz Pena,AR,76.71,overcast clouds,-26.7852,-60.4388,Hotel Gualok
525,Constancia,MX,82.04,overcast clouds,24.2231,-107.1869,Mi casa
531,Srandakan,ID,76.5,overcast clouds,-7.9386,110.2506,Puri Brata
535,Tautira,PF,80.74,light rain,-17.7333,-149.15,Pension Oaoa
536,Santa Quiteria,BR,79.57,overcast clouds,-4.3319,-40.1567,Tahen Hotel
540,Touros,BR,83.57,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
543,La Peca,PE,82.11,light rain,-5.6111,-78.435,Hospedaje San Miguelito
547,San Luis,AR,82.0,broken clouds,-33.295,-66.3356,Huarpes Hotel
549,Entre Rios,BR,84.51,broken clouds,-11.9419,-38.0844,Pousada Porteira
556,Kandrian,PG,76.59,moderate rain,-6.2167,149.55,Kandrian Station
557,Eydhafushi,MV,84.36,scattered clouds,5.1033,73.0708,Soneva Fushi
561,Kulachi,PK,85.44,scattered clouds,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
562,Miri,MY,77.34,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
565,Bubaque,GW,76.84,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
568,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
571,Pedernales,DO,85.35,overcast clouds,18.0384,-71.744,Hotel Costa Marina
574,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
576,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
582,Harper,LR,82.02,overcast clouds,4.375,-7.7169,Screensaver
583,Machilipatnam,IN,81.45,overcast clouds,16.1667,81.1333,R&B Bungalow
584,Manati,PR,85.05,broken clouds,18.4275,-66.4921,Manati World Point Inn
585,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
586,Boueni,YT,84.18,broken clouds,-12.9025,45.0761,The feet in water
590,Sompeta,IN,78.71,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
592,Kudahuvadhoo,MV,83.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
595,Ukiah,US,81.45,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
596,Dhampur,IN,79.34,clear sky,29.3167,78.5167,Goyal Galaxy Guest House
597,Santa Isabel Do Rio Negro,BR,85.77,broken clouds,-0.4139,-65.0192,Hotel GSA
598,Pinar Del Rio,CU,82.35,overcast clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
605,Lorengau,PG,78.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
606,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
608,Itajuba,BR,75.96,broken clouds,-22.4256,-45.4528,Hotel Oriente
610,Dariba,IN,85.77,clear sky,24.95,74.1333,JDO Hostel
612,Koumac,NC,78.1,overcast clouds,-20.5667,164.2833,Le Monitel
619,Bhuban,IN,76.48,clear sky,20.8833,85.8333,Prasanta Sahoo
620,San Quintin,MX,80.2,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
621,Coari,BR,84.51,heavy intensity rain,-4.085,-63.1414,Dellrey Hotel Center
632,Callaguip,PH,78.58,overcast clouds,18.0714,120.4867,Pangil Beach Resort
636,Cabuyaro,CO,86.16,broken clouds,4.2817,-72.794,Hotel La Cuarta
645,Banda Aceh,ID,80.04,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
646,Bowen,AU,76.26,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
648,Inirida,CO,83.7,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
650,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
651,Mitsamiouli,KM,82.35,few clouds,-11.3847,43.2844,Foyer ADM
652,Itamaraca,BR,84.25,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
656,Kochi,IN,75.18,light rain,9.9399,76.2602,Trident Hotel Cochin
659,Karratha,AU,83.17,few clouds,-20.7377,116.8463,ibis Styles Karratha
660,Kattivakkam,IN,86.09,few clouds,13.2167,80.3167,Euronova Freezer
661,Gudari,IN,80.28,scattered clouds,19.35,83.7833,Hotel maa majhigouri
663,Bermejo,AR,80.65,clear sky,-32.8833,-68.8,Hotel Mendoza
665,Humaita,BR,89.46,broken clouds,-7.5061,-63.0208,Corrêa Hotel
670,Celestun,MX,76.28,overcast clouds,20.8667,-90.4,Posada Lilia
674,Lazaro Cardenas,MX,84.78,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
676,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
677,Takoradi,GH,82.45,overcast clouds,4.8845,-1.7554,Raybow International Hotel
683,Qom,IR,77.07,overcast clouds,34.6401,50.8764,Qom Hotel
687,Sabang,ID,81.97,scattered clouds,5.8933,95.3214,Hotel Citra
688,Manta,EC,82.18,few clouds,-0.95,-80.7333,Balandra Hotel
689,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
690,Yenagoa,NG,79.84,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
691,Muli,MV,83.17,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
695,Novo Cruzeiro,BR,80.92,scattered clouds,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
